path,true_label,pred_label,correct,confidence,generator
C:\Users\99303\git\GenImage_data\glide\val\ai\GLIDE_1000_200_04_490_glide_00039.png,ai,nature,False,0.9994021893792532,glide
C:\Users\99303\git\GenImage_data\BigGAN\val\nature\ILSVRC2012_val_00004953.JPEG,nature,ai,False,0.9984741820388692,BigGAN
C:\Users\99303\git\GenImage_data\ADM\val\ai\157_adm_85.PNG,ai,nature,False,0.9961183601515482,ADM
C:\Users\99303\git\GenImage_data\glide\val\ai\GLIDE_1000_200_00_073_glide_00074.png,ai,nature,False,0.9944610744156684,glide
C:\Users\99303\git\GenImage_data\ADM\val\ai\684_adm_7.PNG,ai,nature,False,0.9939037453878332,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\165_adm_7.PNG,ai,nature,False,0.9935489065829326,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\635_adm_91.PNG,ai,nature,False,0.9925427050586626,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\916_adm_174.PNG,ai,nature,False,0.9923330885873652,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\204_adm_174.PNG,ai,nature,False,0.9916824494633484,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\486_adm_91.PNG,ai,nature,False,0.991013549852658,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\898_adm_34.PNG,ai,nature,False,0.9891768837836123,ADM
C:\Users\99303\git\GenImage_data\ADM\val\nature\ILSVRC2012_val_00006358.JPEG,nature,ai,False,0.9890261242769725,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\67_adm_7.PNG,ai,nature,False,0.9879100421740064,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\172_adm_34.PNG,ai,nature,False,0.9876968521751216,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\132_adm_34.PNG,ai,nature,False,0.9870439003146628,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\57_adm_7.PNG,ai,nature,False,0.9868212263147542,ADM
C:\Users\99303\git\GenImage_data\glide\val\ai\GLIDE_1000_200_07_780_glide_00039.png,ai,nature,False,0.986551588646247,glide
C:\Users\99303\git\GenImage_data\ADM\val\ai\357_adm_153.PNG,ai,nature,False,0.9864349442006792,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\597_adm_34.PNG,ai,nature,False,0.9863599126520112,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\116_adm_7.PNG,ai,nature,False,0.985354643357074,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\242_adm_153.PNG,ai,nature,False,0.9844148126971234,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\262_adm_91.PNG,ai,nature,False,0.9841709638591634,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\182_adm_91.PNG,ai,nature,False,0.9840460388592468,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\35_adm_174.PNG,ai,nature,False,0.9839278906574106,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\654_adm_91.PNG,ai,nature,False,0.9836571536415928,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\363_adm_85.PNG,ai,nature,False,0.983384873730745,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\468_adm_7.PNG,ai,nature,False,0.9830157325984888,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\486_adm_34.PNG,ai,nature,False,0.9828181295751452,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\617_adm_85.PNG,ai,nature,False,0.982378430012683,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\566_adm_7.PNG,ai,nature,False,0.9817154037862812,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\728_adm_174.PNG,ai,nature,False,0.981456899150573,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\43_adm_34.PNG,ai,nature,False,0.980473484338856,ADM
C:\Users\99303\git\GenImage_data\VQDM\val\nature\ILSVRC2012_val_00010033.JPEG,nature,ai,False,0.9804726804415324,VQDM
C:\Users\99303\git\GenImage_data\ADM\val\ai\545_adm_85.PNG,ai,nature,False,0.9801447875689328,ADM
C:\Users\99303\git\GenImage_data\VQDM\val\ai\VQDM_1000_200_05_522_vqdm_00074.png,ai,nature,False,0.980009715103635,VQDM
C:\Users\99303\git\GenImage_data\ADM\val\ai\578_adm_7.PNG,ai,nature,False,0.9797208827562576,ADM
C:\Users\99303\git\GenImage_data\glide\val\ai\GLIDE_1000_200_08_883_glide_00074.png,ai,nature,False,0.9792969348925566,glide
C:\Users\99303\git\GenImage_data\ADM\val\ai\73_adm_34.PNG,ai,nature,False,0.979282785530564,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\995_adm_85.PNG,ai,nature,False,0.979268018599425,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\665_adm_91.PNG,ai,nature,False,0.9792560413523952,ADM
C:\Users\99303\git\GenImage_data\BigGAN\val\nature\ILSVRC2012_val_00015237.JPEG,nature,ai,False,0.9790900795919056,BigGAN
C:\Users\99303\git\GenImage_data\ADM\val\ai\864_adm_91.PNG,ai,nature,False,0.9790625197596652,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\196_adm_91.PNG,ai,nature,False,0.978855511674102,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\308_adm_174.PNG,ai,nature,False,0.9788314352772776,ADM
C:\Users\99303\git\GenImage_data\VQDM\val\ai\VQDM_1000_200_09_919_vqdm_00035.png,ai,nature,False,0.9787097265135852,VQDM
C:\Users\99303\git\GenImage_data\ADM\val\ai\186_adm_85.PNG,ai,nature,False,0.9786105392958248,ADM
C:\Users\99303\git\GenImage_data\glide\val\ai\GLIDE_1000_200_05_515_glide_00074.png,ai,nature,False,0.9784678146652822,glide
C:\Users\99303\git\GenImage_data\ADM\val\ai\615_adm_153.PNG,ai,nature,False,0.9783483763954413,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\735_adm_34.PNG,ai,nature,False,0.9780408636460484,ADM
C:\Users\99303\git\GenImage_data\VQDM\val\ai\VQDM_1000_200_04_479_vqdm_00143.png,ai,nature,False,0.9779139610548097,VQDM
C:\Users\99303\git\GenImage_data\ADM\val\ai\371_adm_91.PNG,ai,nature,False,0.9778061489069888,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\432_adm_85.PNG,ai,nature,False,0.9771623769085336,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\439_adm_34.PNG,ai,nature,False,0.9767712751271612,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\742_adm_7.PNG,ai,nature,False,0.9763501902303529,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\641_adm_153.PNG,ai,nature,False,0.9758135479709702,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\44_adm_7.PNG,ai,nature,False,0.9757681063880256,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\988_adm_7.PNG,ai,nature,False,0.9757413745958382,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\156_adm_85.PNG,ai,nature,False,0.9756884438014553,ADM
C:\Users\99303\git\GenImage_data\BigGAN\val\nature\ILSVRC2012_val_00015611.JPEG,nature,ai,False,0.975360781388548,BigGAN
C:\Users\99303\git\GenImage_data\ADM\val\ai\20_adm_91.PNG,ai,nature,False,0.9743910937998403,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\133_adm_91.PNG,ai,nature,False,0.9743049379226988,ADM
C:\Users\99303\git\GenImage_data\ADM\val\ai\637_adm_174.PNG,ai,nature,False,0.9741592925768624,ADM
